brand,color,type,cost,marked_price
Puma,Yellow,T-Shirt,178.89613118207137,213.80813510335147
Nike,Pink,Hat,41.110540112181695,50.50160250559652
Zara,Blue,Underwear,20.5835445291849,115.36026717928912
Reebok,Orange,Hoodie,151.56951107980083,191.56363336297215
Burberry,Blue,Shoes,795.5074308727859,324.0375603357652
Prada,Brown,Scarf,137.3627886129314,190.13917875723425
Lacoste,Brown,Polo Shirt,213.114858659973,238.22371777086465
Tommy Hilfiger,Brown,T-Shirt,174.67038362937956,207.2915585598318
Under Armour,White,T-Shirt,78.04429616687244,147.81322748752237
Tommy Hilfiger,Brown,Jacket,113.65556372284532,167.67519767436542
Ralph Lauren,Green,Jeans,343.3936232266059,328.6818321068155
Reebok,Purple,Jacket,159.26625245350766,196.98153260193578
H&M,Purple,Shoes,27.02150081045331,133.055197640909
Reebok,White,Sandals,283.082165744587,244.2090405812603
Lacoste,Pink,Sandals,137.36228193662305,198.57535859258672
Versace,Brown,Sandals,231.81776786061008,243.20183846753304
Ralph Lauren,Brown,Sandals,320.147380559872,315.4129691664722
Under Armour,Orange,Gloves,36.0188497672007,65.9967603971395
Chanel,Pink,Bra,256.01254083580375,283.1109026442441
Nike,Red,Skirt,140.44075743470103,172.119990583772
Chanel,Brown,Hoodie,181.41341685524458,216.39439303457866
Under Armour,Black,Jacket,85.6478724621173,157.56981538647804
Under Armour,Blue,Hoodie,60.06361029060568,115.64565639760022
Gucci,Pink,Skirt,155.3559012922143,196.122793433323
Ralph Lauren,Brown,Hoodie,226.8751248274554,201.27909150087515
Chanel,White,Hoodie,317.4904361388736,334.57486563358555
Calvin Klein,Blue,Jeans,218.418233761439,234.84210133213432
H&M,Red,Polo Shirt,22.524610121900427,122.46559835493987
Levis,Orange,Dress,205.40165329703314,218.28979900505814
Calvin Klein,White,Slippers,254.89913861686142,264.69949212375445
Puma,Brown,Jacket,171.28705189844734,202.7492189072806
Gucci,Black,Dress,222.81483044178736,253.93169738185648
Tommy Hilfiger,Green,Sandals,232.07212776769393,222.42123546633883
Reebok,Purple,Underwear,121.38767223706395,157.6552180609979
Zara,Black,Hat,27.917017818681945,108.2619102501703
Calvin Klein,Pink,Dress,411.6891221897859,282.52941091143725
Calvin Klein,Blue,Jewelry,179.3609309759388,201.66344581619708
Calvin Klein,Brown,Dress,360.1926358580407,239.5216203601151
Lacoste,Yellow,Shoes,432.74144978706715,413.4588088555784
Nike,Purple,Socks,30.17533942053877,141.89447156352492
Chanel,Purple,Shorts,511.1737802585642,324.1277148949878
Adidas,Black,Hat,133.25283122530405,165.5078219481067
Nike,Green,Sandals,173.28673514982864,203.9322926186319
Tommy Hilfiger,Black,T-Shirt,151.22778583092636,183.6637479135702
Armani,Pink,Sweater,366.1989522844402,418.4171044079732
Reebok,Brown,Sweater,130.01040115109748,190.2530559004777
Nike,White,Bra,32.255757743619185,53.938569617853524
Ralph Lauren,Blue,T-Shirt,201.05168745547135,232.4574391539455
Armani,Pink,Polo Shirt,338.3535540797952,385.4380161426333
Dior,Blue,Bra,201.31367238426458,229.4679600082036
Dior,Orange,Hoodie,420.3946092819165,444.5026668699
Versace,Red,Hat,145.62469315393187,193.6893521207912
Nike,Red,Skirt,121.86306909844112,147.43092752879662
Chanel,Pink,Hat,315.07198651762917,321.4365751896202
Puma,Black,Jewelry,80.23696780691733,154.78363090960823
Nike,Orange,Hat,50.20952939970245,170.02370342528644
Reebok,Green,Slippers,173.91251452002115,206.01830302986096
Dior,Brown,Gloves,214.62883201687984,209.08569579961733
Reebok,Yellow,Sweater,147.92815568510994,186.18973308330126
Zara,Brown,Scarf,36.86906475255679,143.1936362229144
Ralph Lauren,Purple,Jeans,341.69351488765915,372.3241380682097
Adidas,White,Slippers,241.07139563371575,265.13178341301364
Nike,Brown,Jacket,58.81545447252219,140.22892927393457
Ralph Lauren,Blue,Bra,169.56097030209168,201.39649759075468
Versace,Orange,Gloves,175.10156042138902,204.68035269684376
Prada,Green,Jacket,269.5975224827885,320.01164267770247
Versace,Green,Gloves,291.25637280563967,247.08650513704845
Burberry,Brown,Gloves,365.1675958032728,245.73385049176252
Puma,Green,Sandals,99.52319810670038,127.34834244621047
Dior,White,Shoes,826.3703422316046,935.5452396789864
Prada,Black,Scarf,274.0890513243596,263.0920008640146
Zara,Yellow,Boots,109.07743236883324,149.55211624892178
Levis,Yellow,Hoodie,155.5088522513712,189.7853203853106
H&M,Green,Hoodie,25.357149009751296,181.46295463602326
Chanel,White,Polo Shirt,273.44712679645636,269.8016926145395
Gucci,Black,Hat,177.67693734499903,204.90390753127855
Armani,Red,Sweater,440.41984897027083,528.319559127667
Armani,Brown,Skirt,253.1336015268326,295.2157404006363
Reebok,Purple,Jacket,167.62737208053176,200.16707304434686
Puma,Black,Shoes,176.70183008071808,208.72607574315194
Nike,Purple,Boots,129.08120840350665,171.07872906691327
Reebok,Red,Skirt,215.4060594216544,227.20509894769444
Dior,Pink,Gloves,358.16500766259134,281.3212753798137
Dior,Yellow,Jewelry,320.2563877561447,288.3309637651653
Prada,Brown,Socks,215.35189840138605,232.15199999345523
Under Armour,Purple,Scarf,35.61366508406823,76.57580116708255
Prada,Green,T-Shirt,303.79656734322714,239.54562704906698
Calvin Klein,Blue,Sandals,373.1115076128325,421.3822762032879
Nike,Black,Scarf,32.00761208722675,123.272863107657
Tommy Hilfiger,Black,Hat,151.42257731701721,186.12859929256322
Under Armour,Green,Jacket,59.80847467769581,99.74025287144708
Prada,Pink,Shorts,415.5843737337817,275.64178146943294
Gucci,Pink,Boots,588.542077435362,304.87795523381624
Gucci,Green,Socks,251.87460453802873,262.29276968215436
Reebok,Green,Hoodie,89.90281642648067,195.82549499405576
Lacoste,Red,Bra,123.87861108235687,172.18325826196164
Levis,Pink,Gloves,114.65795742748523,194.79112448212248
Levis,Green,Shoes,174.15450976812693,203.73310694114906
Gucci,Black,Hat,206.81067005481904,246.80374618963646
Nike,Brown,Jacket,88.61405538370994,131.84365481316195
Puma,Blue,Boots,194.99063896961198,202.838610180803
Versace,Green,Dress,333.4286681847799,361.48899107577097
Versace,Yellow,Socks,176.95070066602506,202.84291611645548
Nike,Pink,Polo Shirt,75.98138846621835,178.292153929966
Nike,Black,Shorts,132.91211763644014,182.22281560062567
Prada,Green,T-Shirt,226.34699489435803,200.28458446155986
Prada,Black,Jewelry,226.09824917440028,230.6114532857418
Calvin Klein,Black,Jewelry,215.23535776749503,221.38388148888487
Burberry,Red,Hat,310.9794813625561,235.70127409371895
Armani,Purple,Skirt,384.05205145096363,396.3042113054729
Nike,Red,Skirt,91.99856758601467,142.8093685093843
Ralph Lauren,Yellow,T-Shirt,116.48136295023568,174.5703411729922
Reebok,Blue,Hat,144.12110035945324,188.5288746680125
Lacoste,Orange,T-Shirt,134.80431332945992,174.12728699846372
Calvin Klein,White,Skirt,178.65601307925363,201.58515209704711
Burberry,White,Jacket,312.89661852554855,331.3761447316784
Ralph Lauren,Green,Sweater,243.7140157144471,262.09695179048344
Armani,White,Jewelry,170.16701984764455,201.003496185373
Gucci,Black,Jeans,362.5753004431899,210.1599530900145
Ralph Lauren,Pink,Jacket,190.37216435757884,215.18048129018305
Versace,Green,Hoodie,183.70573534749448,209.49513175298935
Armani,Orange,Polo Shirt,453.3565697294478,258.00770459299076
