brand,color,type,cost,marked_price
Prada,Black,Sandals,110.08665866628621,188.5235563918101
Versace,Brown,Dress,111.34862673944559,173.5872834687745
Lacoste,White,Slippers,138.65084208613015,167.7013848597638
Under Armour,Blue,Boots,113.0529693632747,151.5184461115537
Nike,Brown,Shorts,47.4678444407258,108.74162604801782
Puma,Orange,Bra,26.515836785675738,70.1170282551542
Adidas,Black,Jewelry,126.28777230925179,158.44234334873488
Zara,White,T-Shirt,11.481704245232592,170.1093701097667
Adidas,Green,Dress,114.50119227368658,186.75265016928245
Lacoste,Blue,Hat,13.005548410445265,173.41983255339693
Hermes,Purple,Hat,29.759497278799852,50.188498513428726
H&M,Yellow,Skirt,42.66818870300688,80.20516665780887
Under Armour,Orange,Gloves,20.951902035355037,194.3791352641666
Armani,Black,Shorts,58.45438933238805,108.06522091309304
Hermes,Purple,Gloves,22.634166228945745,89.63158490641302
Levis,Blue,Boots,105.06344009854551,145.62325073720964
Nike,Yellow,Polo Shirt,54.08826491800496,175.67930151313936
Levis,Green,Underwear,19.780298796209998,24.963266640351847
Adidas,Red,Polo Shirt,64.62006802247478,194.84694659931404
Nike,White,Slippers,100.65204324969396,123.15152168166259
Under Armour,Yellow,Polo Shirt,32.037667883448705,132.3751265660496
Reebok,Blue,Underwear,14.243350328999131,182.1335702258206
Chanel,Green,Scarf,39.17391515973809,56.952450320289245
Puma,Yellow,Skirt,11.707042720703779,89.71052130622941
Adidas,Black,Bra,39.323233826835605,57.01425880695864
Louis Vuitton,Black,Jacket,55.10540428922796,154.81785092988605
Louis Vuitton,Brown,Gloves,45.38656820749781,189.08241965982785
Prada,Blue,Jeans,58.56336011775386,117.7041210437822
Adidas,Black,Sandals,108.85501198108261,154.68935544750013
Adidas,Blue,Skirt,44.36722972176267,60.051493891992244
Hermes,Brown,Gloves,44.98027740976494,113.56950279181763
Puma,Pink,Skirt,42.55021747097733,56.284361313779314
Nike,Yellow,Hoodie,47.045953948031006,89.73387142566312
Zara,Yellow,Shoes,131.60823384964576,178.6214293062895
Prada,Green,Hoodie,72.2623540096285,151.51725759022307
Ralph Lauren,White,Shorts,17.6689548543041,62.60232546747237
Under Armour,Brown,Jeans,44.041452512542364,154.38602785509283
Armani,Yellow,Dress,126.90405862194638,165.61231926188432
Adidas,Blue,Dress,141.36884016046278,181.2467364963882
Under Armour,Purple,Skirt,15.537640265580048,120.83550357201466
Adidas,Green,Underwear,31.32291387233426,134.629858643876
Chanel,Black,Polo Shirt,64.93384218675527,125.712364160943
Chanel,Red,Boots,146.94925348732176,181.35834929910934
Hermes,Green,Jeans,25.17543984404261,77.09898483341964
Levis,Black,Bra,44.246308110498376,127.0823393864517
Hermes,Red,Skirt,17.298962111224107,81.1245099161474
Reebok,Orange,Socks,16.230603493394412,84.3527539109976
Gucci,Purple,Jewelry,116.64763764389377,150.34541567952735
Under Armour,Brown,Bra,45.92996379582319,125.28573808333866
Zara,Black,Gloves,43.53400466692315,194.32984065178834
Louis Vuitton,Brown,Shorts,13.23001421393107,181.40452811407394
H&M,White,Boots,129.38295837729254,163.53805152345552
Chanel,Yellow,Sweater,60.17317570377512,127.6836237989357
